Name,City,State,Rank,Category
Sri Balaji Vidyapeeth Mahatma Gandhi Medical College Campus,Puducherry,Pondicherry,188,University
Maharishi Markandeshwar,Ambala,Haryana,66,University
"G.B. Pant Universtiy of Agriculture and Technology, Pantnagar",Pantnagar,Uttarakhand,75,University
North Eastern Hill University,Shillong,Meghalaya,94,University
Avinashilingam Institute for Home Science & Higher Education for Women,Coimbatore,Tamil Nadu,234,University
Chettinad Academy of Research and Education,"Kelambakkam, Chengalpattu District",Tamil Nadu,170,University
"Manonmaniam Sundaranar University, Tirunelveli",Tirunelveli,Tamil Nadu,84,University
International Institute of Information Technology Hyderabad,Hyderabad,Telangana,40,University
Yenepoya University,Mangaluru,Karnataka,138,University
The University of Burdwan,Bardhaman,West Bengal,70,University
Sharda University,Greater Noida,Uttar Pradesh,85,University
Gauhati University,Guwahati,Assam,110,University
Central University of Tamil Nadu,Tiruvarur,Tamil Nadu,120,University
"University of Agricultural Sciences, Bangalore",Bangalore,Karnataka,174,University
Bharati Vidyapeeth,Pune,Maharashtra,161,University
M. G. R. Educational and Research Institute,Chennai,Tamil Nadu,178,University
Utkal University,Bhubaneswar,Odisha,132,University
"Amity University Haryana, Gurgaon","Gurugram, Haryana",Haryana,103,University
Netaji Subhas University of Technology (NSUT),South West,Delhi,100,University
Maharshi Dayanand University,Rohtak,Haryana,89,University
Visva Bharati,Santiniketan,West Bengal,78,University
Tata Institute of Social Sciences,Mumbai,Maharashtra,172,University
Chaudhary Charan Singh Haryana Agricultural University,Hisar,Haryana,148,University
Central University of Punjab,Bathinda,Punjab,64,University
Indian Institute of Science,Bengaluru,Karnataka,26,University
Jawaharlal Nehru University,New Delhi,Delhi,5,University
Jamia Millia Islamia,New Delhi,Delhi,8,University
Jadavpur University,Kolkata,West Bengal,9,University
Banaras Hindu University,Varanasi,Uttar Pradesh,1,University
Manipal Academy of Higher Education-Manipal,Manipal,Karnataka,34,University
Amrita Vishwa Vidyapeetham,Coimbatore,Tamil Nadu,59,University
Vellore Institute of Technology,Vellore,Tamil Nadu,27,University
Aligarh Muslim University,Aligarh,Uttar Pradesh,7,University
University of Hyderabad,Hyderabad,Telangana,20,University
University of Delhi,Delhi,Delhi,2,University
Calcutta University,Kolkata,West Bengal,3,University
Saveetha Institute of Medical and Technical Sciences,Chennai,Tamil Nadu,75,University
Anna University,Chennai,Tamil Nadu,55,University
Siksha `O` Anusandhan,Bhubaneswar,Odisha,65,University
Kalinga Institute of Industrial Technology,Bhubaneswar,Odisha,32,University
Homi Bhabha National Institute,Mumbai,Maharashtra,73,University
S.R.M. Institute of Science and Technology,Chennai,Tamil Nadu,49,University
Savitribai Phule Pune University,Pune,Maharashtra,6,University
Birla Institute of Technology  & Science -Pilani,Pilani,Rajasthan,53,University
Bharathiar University,Coimbatore,Tamil Nadu,32,University
Thapar Institute of Engineering and Technology (Deemed-to-be-university),Patiala,Punjab,71,University
Institute of Chemical Technology,Mumbai,Maharashtra,36,University
Kerala University,Thiruvananthapuram,Kerala,4,University
Panjab University,Chandigarh,Chandigarh,43,University
Shanmugha Arts Science Technology & Research Academy,Thanjavur,Tamil Nadu,96,University
Chandigarh University,Mohali,Punjab,44,University
Koneru Lakshmaiah Education Foundation University (K L College of Engineering),Vaddeswaram,Andhra Pradesh,85,University
Kalasalingam Academy of Research and Education,Srivilliputtur,Tamil Nadu,52,University
Alagappa University,Karaikudi,Tamil Nadu,58,University
"Mahatma Gandhi University, Kottayam",Kottayam,Kerala,62,University
Symbiosis International,Pune,Maharashtra,38,University
University of Kashmir,Srinagar,Jammu and Kashmir,30,University
JSS Academy of Higher Education and Research,Mysuru,Karnataka,87,University
Amity University,Gautam Budh Nagar,Uttar Pradesh,77,University
Osmania University,Hyderabad,Telangana,22,University
Cochin University of Science and Technology,Cochin,Kerala,61,University
Lovely Professional University,Phagwara,Punjab,117,University
Datta Meghe Institute of Higher Education and Research,Wardha,Maharashtra,163,University
Delhi Technological University,New Delhi,Delhi,114,University
Bharathidasan University,Tiruchirappalli,Tamil Nadu,57,University
Babasheb Bhimrao Ambedkar University,Lucknow,Uttar Pradesh,21,University
"Andhra University, Visakhapatnam",Visakhapatnam,Andhra Pradesh,17,University
Mysore University,Mysuru,Karnataka,14,University
King George`s Medical University,Lucknow,Uttar Pradesh,147,University
Dr. D. Y. Patil Vidyapeeth,Pune,Maharashtra,142,University
SVKM`s Narsee Monjee Institute of Management Studies,Mumbai,Maharashtra,127,University
Guru Nanak Dev University,Amritsar,Punjab,39,University
Jamia Hamdard,New Delhi,Delhi,79,University
University of Madras,Chennai,Tamil Nadu,86,University
Sathyabama Institute of Science and Technology,Chennai,Tamil Nadu,130,University
UPES,Dehradun,Uttarakhand,191,University
Madurai Kamaraj University,Madurai,Tamil Nadu,97,University
"Punjab Agricultural University, Ludhiana",Ludhiana,Punjab,104,University
Graphic Era University,Dehradun,Uttarakhand,138,University
Mumbai University,Mumbai,Maharashtra,16,University
Sri Ramachandra Institute of Higher Education and Research,Chennai,Tamil Nadu,156,University
Banasthali Vidyapith,Banasthali,Rajasthan,18,University
Periyar University,Salem,Tamil Nadu,54,University
Sri Venkateswara University,Tirupati,Andhra Pradesh,39,University
Gujarat University,Ahmedabad,Gujarat,19,University
Shiv Nadar University,Gautam Buddha Nagar,Uttar Pradesh,223,University
University of Jammu,Jammu,Jammu and Kashmir,50,University
Visvesvaraya Technological University,Belgaum,Karnataka,174,University
NITTE,Mangaluru,Karnataka,164,University
Bharath Institute of Higher Education & Research,Chennai,Tamil Nadu,90,University
Christ University,Bengaluru,Karnataka,107,University
"Jain university,Bangalore",Bengaluru,Karnataka,45,University
Tezpur University,Tezpur,Assam,126,University
"Calicut University, Thenhipalem, Malapuram",Malappuram,Kerala,180,University
Birla Institute of Technology,Ranchi,Jharkhand,83,University
Tamil Nadu Agricultural University,Coimbatore,Tamil Nadu,82,University
Shoolini University of Biotechnology and Management Sciences,Solan,Himachal Pradesh,92,University
Guru Gobind Singh Indraprastha University,New Delhi,Delhi,110,University
"Vignan's Foundation for Science, Technology and Research",Guntur,Andhra Pradesh,218,University
Mizoram University,Aizawl,Mizoram,62,University
Sri Balaji Vidyapeeth Mahatma Gandhi Medical College Campus,Puducherry,Pondicherry,196,University
Maharishi Markandeshwar,Ambala,Haryana,252,University
"G.B. Pant Universtiy of Agriculture and Technology, Pantnagar",Pantnagar,Uttarakhand,103,University
North Eastern Hill University,Shillong,Meghalaya,47,University
Avinashilingam Institute for Home Science & Higher Education for Women,Coimbatore,Tamil Nadu,111,University
Chettinad Academy of Research and Education,"Kelambakkam, Chengalpattu District",Tamil Nadu,164,University
"Manonmaniam Sundaranar University, Tirunelveli",Tirunelveli,Tamil Nadu,104,University
International Institute of Information Technology Hyderabad,Hyderabad,Telangana,296,University
Yenepoya University,Mangaluru,Karnataka,260,University
The University of Burdwan,Bardhaman,West Bengal,35,University
Sharda University,Greater Noida,Uttar Pradesh,233,University
Gauhati University,Guwahati,Assam,10,University
Central University of Tamil Nadu,Tiruvarur,Tamil Nadu,154,University
"University of Agricultural Sciences, Bangalore",Bangalore,Karnataka,69,University
Bharati Vidyapeeth,Pune,Maharashtra,89,University
M. G. R. Educational and Research Institute,Chennai,Tamil Nadu,106,University
Utkal University,Bhubaneswar,Odisha,24,University
"Amity University Haryana, Gurgaon",Gurugram,Haryana,133,University
Netaji Subhas University of Technology (NSUT),South West,Delhi,93,University
Maharshi Dayanand University,Rohtak,Haryana,42,University
Visva Bharati,Santiniketan,West Bengal,41,University
Tata Institute of Social Sciences,Mumbai,Maharashtra,48,University
Chaudhary Charan Singh Haryana Agricultural University,Hisar,Haryana,152,University
Central University of Punjab,Bathinda,Punjab,232,University
Indian Institute of Science,Bengaluru,Karnataka,97,University
Jawaharlal Nehru University,New Delhi,Delhi,12,University
Jamia Millia Islamia,New Delhi,Delhi,1,University
Jadavpur University,Kolkata,West Bengal,120,University
Banaras Hindu University,Varanasi,Uttar Pradesh,76,University
Manipal Academy of Higher Education-Manipal,Manipal,Karnataka,37,University
Amrita Vishwa Vidyapeetham,Coimbatore,Tamil Nadu,14,University
Vellore Institute of Technology,Vellore,Tamil Nadu,68,University
Aligarh Muslim University,Aligarh,Uttar Pradesh,87,University
University of Hyderabad,Hyderabad,Telangana,34,University
University of Delhi,Delhi,Delhi,54,University
Calcutta University,Kolkata,West Bengal,161,University
Saveetha Institute of Medical and Technical Sciences,Chennai,Tamil Nadu,30,University
Anna University,Chennai,Tamil Nadu,206,University
Siksha `O` Anusandhan,Bhubaneswar,Odisha,13,University
Kalinga Institute of Industrial Technology,Bhubaneswar,Odisha,3,University
Homi Bhabha National Institute,Mumbai,Maharashtra,147,University
S.R.M. Institute of Science and Technology,Chennai,Tamil Nadu,49,University
Savitribai Phule Pune University,Pune,Maharashtra,183,University
